section	key	en	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Messages	WelcomeLabel2	This installs ClawTweaks on your device.%n%nIt will:%n    -  install the tools it needs, if they are missing%n    -  trust the ClawTweaks signing certificate%n    -  install ClawTweaks, Center and Quick Settings%n%nYou need administrator rights once. Your device may need a restart at the end.	Dies installiert ClawTweaks auf deinem Gerät.%n%nEs wird:%n    -  fehlende Werkzeuge installieren%n    -  dem ClawTweaks-Signaturzertifikat vertrauen%n    -  ClawTweaks, Center und Quick Settings installieren%n%nDu brauchst einmal Administratorrechte. Am Ende kann ein Neustart nötig sein.	Ceci installe ClawTweaks sur votre appareil.%n%nIl va :%n    -  installer les outils manquants%n    -  approuver le certificat de signature ClawTweaks%n    -  installer ClawTweaks, Center et Quick Settings%n%nVous devez accorder les droits administrateur une fois. Un redémarrage peut être nécessaire à la fin.	이 설치 프로그램은 장치에 ClawTweaks를 설치합니다.%n%n다음을 수행합니다:%n    -  없는 도구를 설치합니다%n    -  ClawTweaks 서명 인증서를 신뢰합니다%n    -  ClawTweaks, Center, Quick Settings를 설치합니다%n%n관리자 권한이 한 번 필요합니다. 마지막에 장치를 다시 시작해야 할 수 있습니다.	Esto instala ClawTweaks en tu dispositivo.%n%nHará lo siguiente:%n    -  instalar las herramientas que falten%n    -  confiar en el certificado de firma de ClawTweaks%n    -  instalar ClawTweaks, Center y Quick Settings%n%nNecesitas permisos de administrador una vez. Puede que el dispositivo deba reiniciarse al final.	Эта программа установит ClawTweaks на ваше устройство.%n%nОна:%n    -  установит недостающие инструменты%n    -  добавит сертификат подписи ClawTweaks в доверенные%n    -  установит ClawTweaks, Center и Quick Settings%n%nОдин раз потребуются права администратора. В конце может понадобиться перезагрузка.	Αυτό εγκαθιστά το ClawTweaks στη συσκευή σας.%n%nΘα:%n    -  εγκαταστήσει τα εργαλεία που λείπουν%n    -  κάνει έμπιστο το πιστοποιητικό υπογραφής του ClawTweaks%n    -  εγκαταστήσει ClawTweaks, Center και Quick Settings%n%nΧρειάζεστε δικαιώματα διαχειριστή μία φορά. Στο τέλος ίσως χρειαστεί επανεκκίνηση.	这会在你的设备上安装 ClawTweaks。%n%n它会:%n    -  安装缺少的工具%n    -  信任 ClawTweaks 的签名证书%n    -  安装 ClawTweaks、Center 和 Quick Settings%n%n需要一次管理员权限。最后设备可能需要重启。	這會在你的裝置上安裝 ClawTweaks。%n%n它會:%n    -  安裝缺少的工具%n    -  信任 ClawTweaks 的簽署憑證%n    -  安裝 ClawTweaks、Center 和 Quick Settings%n%n需要一次系統管理員權限。最後裝置可能需要重新啟動。	Questo installa ClawTweaks sul tuo dispositivo.%n%nFarà quanto segue:%n    -  installare gli strumenti mancanti%n    -  considerare attendibile il certificato di firma di ClawTweaks%n    -  installare ClawTweaks, Center e Quick Settings%n%nServono i diritti di amministratore una volta. Alla fine il dispositivo potrebbe dover riavviarsi.	Isto instala o ClawTweaks no seu dispositivo.%n%nEle vai:%n    -  instalar as ferramentas que faltam%n    -  confiar no certificado de assinatura do ClawTweaks%n    -  instalar ClawTweaks, Center e Quick Settings%n%nVocê precisa de direitos de administrador uma vez. No final o dispositivo pode precisar reiniciar.	これはこのデバイスに ClawTweaks をインストールします。%n%n次を行います:%n    -  足りないツールをインストールする%n    -  ClawTweaks の署名証明書を信頼する%n    -  ClawTweaks、Center、Quick Settings をインストールする%n%n管理者権限が一度必要です。最後に再起動が必要になることがあります。	To zainstaluje ClawTweaks na twoim urządzeniu.%n%nProgram:%n    -  zainstaluje brakujące narzędzia%n    -  zaufa certyfikatowi podpisu ClawTweaks%n    -  zainstaluje ClawTweaks, Center i Quick Settings%n%nRaz potrzebne są uprawnienia administratora. Na końcu urządzenie może wymagać ponownego uruchomienia.
the full screen home app	FseOfferTitle	Use ClawTweaks Library as FSE Mode Start App	ClawTweaks Bibliothek als Start-App im FSE-Modus verwenden	Utiliser la bibliothèque ClawTweaks comme application de démarrage FSE	ClawTweaks 라이브러리를 FSE 모드 시작 앱으로 사용	Usar la biblioteca de ClawTweaks como app de inicio en modo FSE	Использовать библиотеку ClawTweaks как стартовое приложение FSE	Χρήση της βιβλιοθήκης ClawTweaks ως εφαρμογής εκκίνησης FSE	把 ClawTweaks 游戏库作为 FSE 模式启动应用	把 ClawTweaks 遊戲庫作為 FSE 模式啟動應用程式	Usare la libreria ClawTweaks come app di avvio FSE	Usar a biblioteca do ClawTweaks como app inicial do modo FSE	ClawTweaks ライブラリを FSE モードの起動アプリにする	Użyj biblioteki ClawTweaks jako aplikacji startowej trybu FSE
the full screen home app	FseOfferDesc	The CTW Library automatically shows the games from all your stores: Steam, Xbox and more. Even ROMs set up in Playnite.	Die CTW Bibliothek zeigt dir automatisch die Spiele aus all deinen Stores: Steam, Xbox und weitere. Sogar ROMs aus Playnite.	La bibliothèque CTW affiche automatiquement les jeux de toutes vos boutiques : Steam, Xbox et d'autres. Même les ROMs configurées dans Playnite.	CTW 라이브러리는 Steam, Xbox 등 모든 스토어의 게임을 자동으로 보여줍니다. Playnite에서 설정한 ROM도 표시됩니다.	La biblioteca CTW muestra automáticamente los juegos de todas tus tiendas: Steam, Xbox y más. Incluso las ROMs configuradas en Playnite.	Библиотека CTW сама показывает игры из всех ваших магазинов: Steam, Xbox и других. Даже ROM из Playnite.	Η βιβλιοθήκη CTW δείχνει αυτόματα τα παιχνίδια από όλα τα καταστήματά σας: Steam, Xbox και άλλα. Ακόμη και ROM από το Playnite.	CTW 游戏库会自动显示你所有商店的游戏：Steam、Xbox 等。连 Playnite 里配置的 ROM 也在内。	CTW 遊戲庫會自動顯示你所有商店的遊戲：Steam、Xbox 等。連 Playnite 裡設定的 ROM 也在內。	La libreria CTW mostra automaticamente i giochi di tutti i tuoi store: Steam, Xbox e altri. Anche le ROM configurate in Playnite.	A biblioteca CTW mostra automaticamente os jogos de todas as suas lojas: Steam, Xbox e mais. Até ROMs configuradas no Playnite.	CTW ライブラリは Steam、Xbox などすべてのストアのゲームを自動で表示します。Playnite に登録した ROM も出ます。	Biblioteka CTW sama pokazuje gry ze wszystkich twoich sklepów: Steam, Xbox i innych. Nawet ROM-y z Playnite.
the full screen home app	FseOfferIntro	Steam is deeply integrated with Achievements	Steam ist tief integriert, samt Errungenschaften	Steam est profondément intégré, succès compris	Steam은 도전 과제까지 깊이 통합되어 있습니다	Steam está integrado a fondo, logros incluidos	Steam интегрирован глубоко, вместе с достижениями	Το Steam είναι βαθιά ενσωματωμένο, μαζί με τα επιτεύγματα	Steam 深度集成，包括成就	Steam 深度整合，包括成就	Steam è integrato a fondo, obiettivi compresi	O Steam é integrado a fundo, com conquistas	Steam は実績まで深く統合されています	Steam jest zintegrowany głęboko, razem z osiągnięciami
the full screen home app	FseOfferOptional	This is optional. ClawTweaks also works as a Game Bar widget on its own, and the CTW Library opens on the normal Windows desktop too.	Das ist optional. ClawTweaks läuft auch nur als Game-Bar-Widget, und die CTW Bibliothek lässt sich auch im normalen Windows öffnen.	C'est facultatif. ClawTweaks fonctionne aussi comme simple widget Game Bar, et la bibliothèque CTW s'ouvre aussi sur le bureau Windows normal.	선택 사항입니다. ClawTweaks는 게임 바 위젯으로만 쓸 수도 있고, CTW 라이브러리는 일반 Windows 바탕 화면에서도 열립니다.	Esto es opcional. ClawTweaks también funciona solo como widget de Game Bar, y la biblioteca CTW se abre también en el Windows normal.	Это необязательно. ClawTweaks работает и просто как виджет Game Bar, а библиотека CTW открывается и на обычном рабочем столе Windows.	Είναι προαιρετικό. Το ClawTweaks λειτουργεί και μόνο ως widget του Game Bar, και η βιβλιοθήκη CTW ανοίγει και στα κανονικά Windows.	这是可选的。ClawTweaks 单独作为 Game Bar 小组件也能用，CTW 游戏库在普通 Windows 桌面上同样能打开。	這是選用的。ClawTweaks 單獨作為 Game Bar 小工具也能用，CTW 遊戲庫在一般 Windows 桌面上同樣能開啟。	È facoltativo. ClawTweaks funziona anche solo come widget del Game Bar, e la libreria CTW si apre anche sul desktop Windows normale.	Isto é opcional. O ClawTweaks também funciona só como widget do Game Bar, e a biblioteca CTW abre no Windows normal também.	これは任意です。ClawTweaks は Game Bar ウィジェットだけでも動き、CTW ライブラリは通常の Windows デスクトップでも開きます。	To opcjonalne. ClawTweaks działa też sam jako widżet Game Bar, a biblioteka CTW otwiera się także na zwykłym pulpicie Windows.
the full screen home app	FseOfferCheck	Register the CTW Library as FSE Start App?	CTW Bibliothek als FSE-Start-App registrieren?	Enregistrer la bibliothèque CTW comme application de démarrage FSE ?	CTW 라이브러리를 FSE 시작 앱으로 등록할까요?	¿Registrar la biblioteca CTW como app de inicio FSE?	Зарегистрировать библиотеку CTW как стартовое приложение FSE?	Καταχώριση της βιβλιοθήκης CTW ως εφαρμογής εκκίνησης FSE;	把 CTW 游戏库注册为 FSE 启动应用？	把 CTW 遊戲庫註冊為 FSE 啟動應用程式？	Registrare la libreria CTW come app di avvio FSE?	Registrar a biblioteca CTW como app inicial do FSE?	CTW ライブラリを FSE の起動アプリとして登録しますか？	Zarejestrować bibliotekę CTW jako aplikację startową FSE?
the full screen home app	FseOfferYes	Yes	Ja	Oui	예	Sí	Да	Ναι	是	是	Sì	Sim	はい	Tak
the full screen home app	FseOfferNo	No	Nein	Non	아니요	No	Нет	Όχι	否	否	No	Não	いいえ	Nie
the full screen home app	FseDoneTitle	CTW Library as FSE App registered - Now Set it as Start App	CTW Bibliothek als FSE-App registriert - jetzt als Start-App festlegen	Bibliothèque CTW enregistrée comme application FSE - définissez-la comme application de démarrage	CTW 라이브러리가 FSE 앱으로 등록됨 - 이제 시작 앱으로 설정하세요	Biblioteca CTW registrada como app FSE - ahora elígela como app de inicio	Библиотека CTW зарегистрирована — теперь назначьте её стартовой	Η βιβλιοθήκη CTW καταχωρίστηκε — τώρα ορίστε την ως εφαρμογή εκκίνησης	CTW 游戏库已注册为 FSE 应用 - 现在把它设为启动应用	CTW 遊戲庫已註冊為 FSE 應用程式 - 現在把它設為啟動應用程式	Libreria CTW registrata come app FSE - ora impostala come app di avvio	Biblioteca CTW registrada como app FSE - agora defina como app inicial	CTW ライブラリを FSE アプリとして登録しました - 起動アプリに設定してください	Biblioteka CTW zarejestrowana jako aplikacja FSE - teraz ustaw ją jako startową
the full screen home app	FseDoneDesc	Open Gaming, then Xbox mode, and set ClawTweaks Library.	Öffne Spiele, dann Xbox-Modus, und wähle ClawTweaks Library.	Ouvrez Jeux, puis Mode Xbox, et choisissez ClawTweaks Library.	게임을 연 다음 Xbox 모드에서 ClawTweaks Library를 선택하세요.	Abre Juegos, luego Modo Xbox, y elige ClawTweaks Library.	Откройте «Игры», затем режим Xbox, и выберите ClawTweaks Library.	Ανοίξτε «Παιχνίδια», μετά τη λειτουργία Xbox, και ορίστε το ClawTweaks Library.	打开「游戏」，再进入 Xbox 模式，设置 ClawTweaks Library。	開啟「遊戲」，再進入 Xbox 模式，設定 ClawTweaks Library。	Apri Giochi, poi la modalità Xbox, e imposta ClawTweaks Library.	Abra Jogos, depois o modo Xbox, e defina ClawTweaks Library.	「ゲーム」を開き、Xbox モードで ClawTweaks Library を選びます。	Otwórz Granie, potem tryb Xbox, i ustaw ClawTweaks Library.
